[PRODUCTS]
!PRODUCT_ID,!SKU,!MAIN_CATEGORY,!ADDITIONAL_CATEGORIES,!BRAND_ID,!NAME,!DESCRIPTION,!META_KEYWORDS,!META_DESCRIPTION,!META_TITLE,!PRICE,!LIST_PRICE,!WEIGHT,!IN_STOCK,!STATUS,!CLEAN_URL,!KEYWORDS
113,SKU1,26,"8,25,26",4,"Variants MEN Supima Cotton Crew Neck Short Sleeve T","<p>A 100% Supima&reg; cotton T-shirt thick enough to wear on its own or for layering.<br /><line-break>- The luxurious jersey material uses 100% Supima&reg; cotton for a smooth feel, natural brightness and beautiful colors.<br /><line-break>- A smooth silhouette from the bust down to the waist, with sleek shoulders and armholes.&nbsp;<br /><line-break>- A narrower seam fold and stitching for a more delicate neckline.<br /><line-break>- With a flattering neckline.<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>100% Cotton</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Cold Machine Wash</p><line-break>",,,,14.90,17,0.00,1000,1,MEN-Supima-Cotton-Crew-Neck-Short-Sleeve-T,
114,SKU2,26,"8,25,26",3,"MEN Uniqlo U Crew Neck Short Sleeve T-Shirt","<p>Made from 100% heavyweight cotton, this is the ultimate basic t-shirt.<br /><line-break>- Relaxed, loose cut.<br /><line-break>- A simple, stylish t-shirt.<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>Body：100% Cotton</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Machine Wash, Gentle Or Delicate</p><line-break>",,,,19.90,23,0.00,1000,1,MEN-Uniqlo-U-Crew-Neck-Short-Sleeve-T-Shirt,
115,SKU115,26,"8,25,26",2,"MEN Packaged Dry Crew Neck Short Sleeve T-Shirt","<p>Available in a great variety of colors. Our simple, versatile plain DRY t-shirt.<br /><line-break>- Classic jersey material with DRY technology.&nbsp;<br /><line-break>- A wide range of versatile colors, from basic colors to shades that look great in casual or sporty styles.&nbsp;<br /><line-break>- The range also includes light and cool mottled shades.&nbsp;<br /><line-break>- Stitching running from the shoulders to the neckline prevent any risk of bagginess.<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>[00White, 03Gray, 09Black, 09Black, 17Red, 19Wine, 25Orange, 42Yellow, 53Green, 58Dark Green, 60Light Blue, 69Navy]66% Cotton, 34% Polyester [12Pink, 55Green, 65Blue, 78Purple] 76% Polyester, 24% Cotton</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Machine Wash, Gentle Or Delicate</p><line-break><line-break><p>&nbsp;</p><line-break>",,,,9.90,13,0.00,1000,1,MEN-Packaged-Dry-Crew-Neck-Short-Sleeve-T-Shirt,
116,SKU4,26,"8,25,26",2,"MEN Packaged Dry V Neck Short Sleeve T-Shirt","<p>Masculine V-neck! DRY technology keeps you fresh even in the heat.<br /><line-break>- Made with special jersey material with quick-drying DRY technology.<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>66% Cotton, 34% Polyester</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Machine Wash, Gentle Or Delicate</p><line-break>",,,,9.90,13,0.00,1000,1,MEN-Packaged-Dry-V-Neck-Short-Sleeve-T-Shirt,
117,SKU5,26,"8,25,26",2,"MEN Washed Slub Crew Neck Short Sleeve T","<p>lors and styles.&nbsp;<br /><line-break>- These casual slub T-shirts come in various collar designs.&nbsp;<br /><line-break>- Updated for a new season! Now even more casual, with trendy West Coast colors and details.&nbsp;<br /><line-break>- The trendy seamless designs are tailored to each collar shape.&nbsp;<br /><line-break>- The range includes nuanced colors that can be worn with shorts or paired with a jacket.<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>100% Cotton</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Machine Wash, Gentle Or Delicate</p><line-break><line-break><p>&nbsp;</p><line-break>",,,,9.00,13,0.00,1000,1,MEN-Washed-Slub-Crew-Neck-Short-Sleeve-T,
118,SKU6,26,"8,25,26",3,"MEN Supima Cotton Crew Neck Short Sleeve T","<p>A 100% Supima&reg; cotton T-shirt thick enough to wear on its own or for layering.<br /><line-break>- The luxurious jersey material uses 100% Supima&reg; cotton for a smooth feel, natural brightness and beautiful colors.<br /><line-break>- A smooth silhouette from the bust down to the waist, with sleek shoulders and armholes.&nbsp;<br /><line-break>- A narrower seam fold and stitching for a more delicate neckline.<br /><line-break>- With a flattering neckline.<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>100% Cotton</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Cold Machine Wash</p><line-break>",,,,14.90,17,0.00,1000,1,,
119,SKU7,26,"8,25,26",4,"MEN Supima Cotton Crew Neck Long Sleeve T-shirt","<p>This 100% Supima &reg; cotton T-shirt is thick enough to wear on its own or for layering.<br /><line-break>- The luxurious jersey material uses 100% Supima &reg; cotton for a smooth feel, natural brightness and beautiful colors.<br /><line-break>- The range includes the subtle red and olive colors that are only possible with Supima &reg; cotton.&nbsp;<br /><line-break>- A smooth silhouette from the bust down to the waist, with sleek shoulders and armholes.&nbsp;<br /><line-break>- With a flattering neckline.&nbsp;<br /><line-break>- A narrower seam fold and stitching for a more delicate neckline.<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>100% Cotton</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Machine Wash, Gentle Or Delicate</p><line-break>",,,,19.90,23,0.00,1000,1,MEN-Supima-Cotton-Crew-Neck-Long-Sleeve-T-shirt,
120,SKU8,26,"8,25,26",3,"MEN Dry-EX Crew Neck Short Sleeve T","<p>Amazingly absorbent! This DRY-EX t-shirt helps keep you feeling fresh.<br /><line-break>- Super quick-drying DRY-EX will keep you cool and dry.<br /><line-break>- In response to customer feedback, we&rsquo;ve added anti-microbial and anti-odor properties to our DRY-EX technology.<br /><line-break>- Versatile LifeWear that can be worn in every setting, whether you&#39;re running a marathon or simply running errands.<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>100% Polyester</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Machine Wash, Gentle Or Delicate</p><line-break><line-break><p>&nbsp;</p><line-break>",,,,19.90,23,0.00,1000,1,MEN-Dry-EX-Crew-Neck-Short-Sleeve-T,
121,SKU9,26,"8,25,26",2,"MEN SPRZ NY Dry-EX Short Sleeve Graphic T-Shirt","<p>About SPRZ NY<br /><line-break><br /><line-break>We call it SPRZ NY...a launching pad for products unlike any you have seen before, and for mind-blowing innovations in pop culture. The project centers on our 5th Avenue NYC flagship store, and will expand into Uniqlo stores everywhere, inspiring and surprising New York and the world.<br /><line-break><br /><line-break>Fran&ccedil;ois Morellet<br /><line-break><br /><line-break>Employing a wide variety of materials, from paint to neon light, Fran&ccedil;ois Morellet began making abstract work around 1950. He applied the rules of basic mathematics to his compositions, which were often determined by chance, systems, or a series of rubrics he devised for each work.<br /><line-break><br /><line-break>&copy;2018 Artists Rights Society (ARS), New York / ADAGP, Paris Atelier Morellet, Cholet / Adagp Images.<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>100% Polyester</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Machine Wash, Gentle Or Delicate</p><line-break>",,,,14.90,17,0.00,1000,1,MEN-SPRZ-NY-Dry-EX-Short-Sleeve-Graphic-T-Shirt,
122,SKU10,26,"8,25,26",4,"MEN SPRZ NY Dry-EX Short Sleeve Graphic T-Shirt","<p>Our performance DRY-EX t-shirt featuring original artist designs!<br /><line-break>- Incredibly quick-drying DRY-EX material.<br /><line-break>- Dries sweat and moisture instantly to maintain a fresh, dry feel.<br /><line-break>- Stylish design works great for sports or casual wear.<br /><line-break><br /><line-break>Meguru Yamaguchi<br /><line-break><br /><line-break>Born in Tokyo in 1984. Moved to the United States in 2007, and currently lives in Brooklyn. His brush strokes exist universally, traversing borders and eras. He uses this method in his creative work to sublimate the expressions of the times. His most well-known work is a piece called &ldquo;OUT OF BOUNDS&rdquo; that breaks out of the boundaries of the canvas, and exists solely as brush strokes. This is further deconstructed and rebuilt in his &ldquo;SPLITTING HORIZON"" series.<br /><line-break><br /><line-break>&copy; Meguru Yamaguchi<br /><line-break>&nbsp;</p><line-break><line-break><p>MATERIAL</p><line-break><line-break><p>100% Polyester</p><line-break><line-break><p>&nbsp;</p><line-break><line-break><p>CARE</p><line-break><line-break><p>Machine Wash, Gentle Or Delicate</p><line-break><line-break><p>&nbsp;</p><line-break>",,,,14.90,17,0.00,1000,1,,
